date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
"2024-05-14","171.59","172.78","170.42","171.93","171.13","18729500","18729500","0.34","0.19815","171.68","May 14, 24","0.0019815",
"2024-05-13","165.85","170.95","165.76","170.9","170.1","19648600","19648600","5.05","3.04","168.365","May 13, 24","0.0304",
"2024-05-10","169.69","171.34","167.91","170.29","169.5","18740500","18740500","0.6","0.35359","169.8075","May 10, 24","0.0035359",
"2024-05-09","171.15","172.44","169.93","171.58","170.78","11937704","11937704","0.43","0.25124","171.275","May 09, 24","0.0025124",
"2024-05-08","170.75","171.91","170.52","171.16","170.36","14569900","14569900","0.41","0.24012","171.085","May 08, 24","0.0024012",
"2024-05-07","170.12","173.47","170","172.98","172.17","21102434","21102434","2.86","1.68","171.6425","May 07, 24","0.0168",
"2024-05-06","169.22","169.9","167.89","169.83","169.04","15147906","15147906","0.61","0.36048","169.21","May 06, 24","0.0036048",
"2024-05-03","169.54","169.85","164.98","168.99","168.2","22767100","22767100","-0.55","-0.32441","168.34","May 03, 24","-0.0032441",
"2024-05-02","166.67","168.53","165.69","168.46","167.67","17041119","17041119","1.79","1.07","167.3375","May 02, 24","0.0107",
"2024-05-01","166.18","168.81","164.9","165.57","164.8","25223245","25223245","-0.61","-0.36707","166.365","May 01, 24","-0.0036707",
"2024-04-30","167.38","169.87","164.5","164.64","163.87","29420800","29420800","-2.74","-1.64","166.5975","April 30, 24","-0.0164",
"2024-04-29","170.77","171.38","167.06","167.9","167.12","35914600","35914600","-2.87","-1.68","169.2775","April 29, 24","-0.0168",
"2024-04-26","175.99","176.42","171.4","173.69","172.88","56500800","56500800","-2.3","-1.31","174.375","April 26, 24","-0.0131",
"2024-04-25","153.36","158.28","152.77","157.95","157.21","36197800","36197800","4.59","2.99","155.59","April 25, 24","0.0299",
"2024-04-24","159.09","161.39","158.82","161.1","160.35","19485700","19485700","2.01","1.26","160.1","April 24, 24","0.0126",
"2024-04-23","158.59","160.48","157.97","159.92","159.17","16115408","16115408","1.33","0.83864","159.24","April 23, 24","0.0083864",
"2024-04-22","156.01","159.19","155.66","157.95","157.21","17243900","17243900","1.94","1.24","157.2025","April 22, 24","0.0124",
"2024-04-19","157.75","157.99","153.91","155.72","154.99","21479881","21479881","-2.03","-1.29","156.3425","April 19, 24","-0.0129",
"2024-04-18","156.93","158.49","156.21","157.46","156.73","14016100","14016100","0.535","0.33773","157.2725","April 18, 24","0.0033773",
