date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
"2023-03-16","304.75","316.6","301.71","310.06","310.059998","7912371","7903700","5.31","1.74","310.81","March 16, 23","0.0174",
"2023-03-15","292.51","306.31","292.28","303.79","303.79","9215340","9215300","11.28","3.86","301.04","March 15, 23","0.0386",
"2023-03-14","295.97","297.45","290.31","294.94","294.94","5956692","5956700","-1.03","-0.34801","294","March 14, 23","-0.0034801",
"2023-03-13","287.34","299.24","285.3301","293.51","293.51","6292385","6292400","6.17","2.15","294.1","March 13, 23","0.0215",
"2023-03-10","297.905","298.79","289","292.76","292.76","5759315","5753800","-5.145","-1.73","293.59","March 10, 23","-0.0173",
"2023-03-09","312.08","312.51","294.88","297.78","297.779999","7443350","7443400","-14.3","-4.58","301.43","March 09, 23","-0.0458",
"2023-03-08","309.29","311.83","305.75","311.79","311.79","3479474","3479500","2.5","0.8083","309.47","March 08, 23","0.008083",
"2023-03-07","312.675","314.3","306.6226","308.47","308.47","4553082","4553100","-4.205","-1.34","310.1","March 07, 23","-0.0134",
"2023-03-06","317","323.3","311.8412","312.03","312.029999","5660743","5660700","-4.97","-1.57","317.49","March 06, 23","-0.0157",
"2023-03-03","315.45","317.49","310.82","315.18","315.179993","5953319","5948700","-0.27","-0.08559201","315.21","March 03, 23","-0.0008559201",
"2023-03-02","310.96","315.57","310.38","311.88","311.88","4921053","4911000","0.92","0.29586","312.53","March 02, 23","0.0029586",
"2023-03-01","321.55","326.6","312.36","313.48","313.48","4911311","4911300","-8.07","-2.51","316.97","March 01, 23","-0.0251",
"2023-02-28","323.7","327.62","321.17","322.13","322.13","3675300","3676100","-1.57","-0.48502","323.77","February 28, 23","-0.0048502",
"2023-02-27","323.87","330","322.121","323.03","323.029999","6138380","6142600","-0.84","-0.25936","325.38","February 27, 23","-0.0025936",
"2023-02-24","319.3","321.5","314.52","317.15","317.149994","6830692","6830700","-2.15","-0.67335","316.73","February 24, 23","-0.0067335",
"2023-02-23","331.23","331.28","314.3","323.65","323.649994","13238673","13238700","-7.58","-2.29","321.79","February 23, 23","-0.0229",
"2023-02-22","337.5","341.91","332.82","334.88","334.88","4546249","4546200","-2.62","-0.7763","336.37","February 22, 23","-0.007763",
"2023-02-21","342.85","344.1253","336.4177","337.5","337.5","5698292","5710300","-5.35","-1.56","339.72","February 21, 23","-0.0156",
"2023-02-17","347.905","349","342.44","347.96","347.959991","5294727","5292000","0.055","0.01580891","346.39","February 17, 23","0.0001580891",
"2023-02-16","355","361.5","350.31","350.71","350.709991","5215726","5215700","-4.29","-1.21","354.9","February 16, 23","-0.0121",
"2023-02-15","356.63","362.88","354.24","361.42","361.42","3969945","3969900","4.79","1.34","358.77","February 15, 23","0.0134",
"2023-02-14","357.55","363.75","353.4","359.96","359.959991","4624758","4624800","2.41","0.67403","358.79","February 14, 23","0.0067403",
"2023-02-13","349.5","359.7034","344.25","358.57","358.57","7126245","7134400","9.07","2.6","354.78","February 13, 23","0.026",
"2023-02-10","359.16","362.14","347.14","347.36","347.359985","7291096","7287300","-11.8","-3.29","352.29","February 10, 23","-0.0329",
"2023-02-09","372.41","373.83","361.7444","362.5","362.5","6901100","6901100","-9.91","-2.66","367.98","February 09, 23","-0.0266",
