date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
"2024-05-06","186.28","188.75","184.8","188.7","188.7","34725295","34725295","2.42","1.3","187.1325","May 06, 24","0.013",
"2024-05-03","186.99","187.87","185.42","186.21","186.21","39172004","39172004","-0.78","-0.41713","186.6225","May 03, 24","-0.0041713",
"2024-05-02","180.85","185.1","179.91","184.72","184.72","54303510","54303510","3.87","2.14","182.645","May 02, 24","0.0214",
"2024-05-01","181.64","185.15","176.56","179","179","94645148","94645148","-2.63","-1.45","180.5875","May 01, 24","-0.0145",
"2024-04-30","181.09","182.99","174.8","175","175","94639786","94639786","-6.09","-3.36","178.47","April 30, 24","-0.0336",
"2024-04-29","182.75","183.53","179.39","180.96","180.96","54063937","54063937","-1.79","-0.97948","181.6575","April 29, 24","-0.0097948",
"2024-04-26","177.8","180.82","176.13","179.62","179.62","43919765","43919765","1.83","1.02","178.5925","April 26, 24","0.0102",
"2024-04-25","169.68","173.92","166.32","173.67","173.67","49249390","49249390","3.99","2.35","170.8975","April 25, 24","0.0235",
"2024-04-24","179.94","180.32","176.18","176.59","176.59","34185109","34185109","-3.35","-1.86","178.2575","April 24, 24","-0.0186",
"2024-04-23","178.08","179.93","175.98","179.54","179.54","37046519","37046519","1.46","0.81986","178.3825","April 23, 24","0.0081986",
"2024-04-22","176.94","178.87","174.56","177.23","177.23","37924890","37924890","0.29","0.1639","176.9","April 22, 24","0.001639",
"2024-04-19","178.74","179","173.44","174.63","174.63","56000729","56000729","-4.11","-2.3","176.4525","April 19, 24","-0.023",
"2024-04-18","181.47","182.39","178.65","179.22","179.22","30723793","30723793","-2.25","-1.24","180.4325","April 18, 24","-0.0124",
"2024-04-17","184.31","184.57","179.82","181.28","181.28","31359673","31359673","-3.03","-1.64","182.495","April 17, 24","-0.0164",
"2024-04-16","183.27","184.83","182.26","183.32","183.32","32891265","32891265","0.05","0.02728215","183.42","April 16, 24","0.0002728215",
"2024-04-15","187.43","188.69","183","183.62","183.62","48052395","48052395","-3.81","-2.03","185.685","April 15, 24","-0.0203",
"2024-04-12","187.72","188.38","185.08","186.13","186.13","38608849","38608849","-1.59","-0.84701","186.8275","April 12, 24","-0.0084701",
"2024-04-11","186.74","189.77","185.51","189.05","189.05","40020742","40020742","2.31","1.24","187.7675","April 11, 24","0.0124",
"2024-04-10","182.77","186.27","182.67","185.95","185.95","35879151","35879151","3.19","1.74","184.415","April 10, 24","0.0174",
"2024-04-09","187.24","187.34","184.2","185.67","185.67","36546946","36546946","-1.57","-0.8385","186.1125","April 09, 24","-0.008385",
"2024-04-08","186.9","187.29","184.81","185.19","185.19","39221282","39221282","-1.71","-0.91493","186.0475","April 08, 24","-0.0091493",
"2024-04-05","182.38","186.27","181.97","185.07","185.07","42373992","42373992","2.69","1.47","183.9225","April 05, 24","0.0147",
"2024-04-04","184","185.1","180","180","180","41624261","41624261","-4","-2.17","182.275","April 04, 24","-0.0217",
"2024-04-03","179.9","182.87","179.8","182.41","182.41","31046638","31046638","2.51","1.4","181.245","April 03, 24","0.014",
"2024-04-02","179.07","180.79","178.38","180.69","180.69","32611546","32611546","1.62","0.90467","179.7325","April 02, 24","0.0090467",
"2024-04-01","180.79","183","179.95","180.97","180.97","29174521","29174521","0.18","0.09956303","181.1775","April 01, 24","0.0009956303",
"2024-03-28","180.17","181.7","179.26","180.38","180.38","38051588","38051588","0.21","0.11656","180.3775","March 28, 24","0.0011656",
"2024-03-27","179.88","180","177.31","179.83","179.83","33272551","33272551","-0.05","-0.02779631","179.255","March 27, 24","-0.0002779631",
"2024-03-26","180.15","180.45","177.95","178.3","178.3","29658982","29658982","-1.85","-1.03","179.2125","March 26, 24","-0.0103",
"2024-03-25","178.01","180.99","177.24","179.71","179.71","29815464","29815464","1.7","0.955","178.9875","March 25, 24","0.00955",
"2024-03-22","177.75","179.26","176.75","178.87","178.87","27995378","27995378","1.12","0.6301","178.1575","March 22, 24","0.006301",
"2024-03-21","179.99","181.42","178.15","178.15","178.15","32824320","32824320","-1.84","-1.02","179.4275","March 21, 24","-0.0102",
"2024-03-20","176.14","178.53","174.64","178.15","178.15","29947150","29947150","2.01","1.14","176.865","March 20, 24","0.0114",
"2024-03-19","174.22","176.09","173.52","175.9","175.9","26880893","26880893","1.69","0.9643","174.9325","March 19, 24","0.009643",
"2024-03-18","175.8","176.69","174.28","174.48","174.48","31250688","31250688","-1.32","-0.75085","175.3125","March 18, 24","-0.0075085",
"2024-03-15","176.64","177.93","173.9","174.42","174.42","72147390","72147390","-2.22","-1.26","175.7225","March 15, 24","-0.0126",
"2024-03-14","177.69","179.53","176.47","178.75","178.75","43705840","43705840","1.06","0.59654","178.11","March 14, 24","0.0059654",
"2024-03-13","175.9","177.62","175.55","176.56","176.56","30772600","30772600","0.655","0.37521","176.4075","March 13, 24","0.0037521",
"2024-03-12","173.5","176.76","171.98","175.39","175.39","36610604","36610604","1.89","1.09","174.4075","March 12, 24","0.0109",
"2024-03-11","174.31","174.47","171.47","171.96","171.96","28484777","28484777","-2.35","-1.35","173.0525","March 11, 24","-0.0135",
"2024-03-08","176.44","178.79","174.33","175.35","175.35","37893242","37893242","-1.09","-0.61777","176.2275","March 08, 24","-0.0061777",
"2024-03-07","174.83","177.99","173.72","176.82","176.82","34063283","34063283","1.99","1.14","175.84","March 07, 24","0.0114",
"2024-03-06","175.54","176.46","173.26","173.51","173.51","32090926","32090926","-2.03","-1.16","174.6925","March 06, 24","-0.0116",
"2024-03-05","176.93","176.93","173.3","174.12","174.12","37228343","37228343","-2.81","-1.59","175.32","March 05, 24","-0.0159",
"2024-03-04","177.53","180.14","177.49","177.58","177.58","37381520","37381520","0.05","0.02816425","178.185","March 04, 24","0.0002816425",
"2024-03-01","176.75","178.73","176.07","178.22","178.22","31981152","31981152","1.47","0.83168","177.4425","March 01, 24","0.0083168",
"2024-02-29","173.01","177.22","172.85","176.76","176.76","53805359","53805359","3.75","2.17","174.96","February 29, 24","0.0217",
"2024-02-28","172.44","174.05","172.27","173.16","173.16","28180482","28180482","0.72","0.41754","172.98","February 28, 24","0.0041754",
"2024-02-27","174.08","174.62","172.86","173.54","173.54","31141732","31141732","-0.535","-0.3102","173.775","February 27, 24","-0.003102",
"2024-02-26","175.7","176.37","174.26","174.73","174.73","44368614","44368614","-0.97","-0.55208","175.265","February 26, 24","-0.0055208",
"2024-02-23","174.28","175.75","173.7","174.99","174.99","59715243","59715243","0.71","0.40739","174.68","February 23, 24","0.0040739",
